What are the signs and symptoms of Asthma?,"Shortness of breath, Chest tightness or pain, Wheezing once eupnoeic may be a common sign of respiratory illness in kids, Trouble sleeping caused by shortness of breath, coughing or asthmatic, Coughing or asthmatic attacks that are worsened by a metastasis virus, like a chilly or the influenza",,,,,,,,,,,,Quora
What is Alzheimer's disease?,"Alzheimer’s is a progressive disease that destroys memory and other important functions. Brain cell connections and the cells themselves degenerate and die, eventually destroying memory and other important mental functions

",,,,,,,,,,,,Quora
What are the stages of Alzheimer's Disease ?,"Preclinical Stage, Mild Cognitive Impairment (MCI), Mild Alzheimer's Disease, Moderate Alzheimer's Disease, Severe Alzheimer's Disease",,,,,,,,,,,,Quora
What is Osteoporosis?,"Osteoporosis is a medical condition in which the bone becomes spongy. While our bones have a spongy and honey-comb like structure inside a hard outer shell, in osteoporosis the bone becomes more fragile.",,,,,,,,,,,,Quora
What are the causes of Osteoporosis?,"Aging, Hormone deficiency, Alcoholism, Immobilization and microgravity, Malignancy, especially plasma cell myeloma, Tobacco, Medications (Long-term)",,,,,,,,,,,,Quora
What is Stroke?,"A stroke is an ischemic brain disease just as a heart attack is an ischemic heart disease. This means that due to inadequate or lack of blood flow in a cerebral artery to a part of the brain (ischemia), the affected area of the brain dies through necrosis (infarction) from hypoxia and lack of nutrients.",,,,,,,,,,,,Quora
Discuss some risk factors in Stroke?,"The risk factors such as hypetension, diabetes, elevated cholesterol, obesity, smoking etc needs to be addressed as per the case for effectively preventing the recurrence of stroke",,,,,,,,,,,,Quora
What is Parkinson's disease?,"Parkinson's disease is a progressive neurodegenerative disorder that primarily affects movement. It occurs when nerve cells in the brain, particularly those that produce the neurotransmitter dopamine, become damaged or die. This leads to a variety of motor and non-motor symptoms.",,,,,,,,,,,,Quora
What is Chronic Kidney Disease?,"Chronic Kidney Disease (CKD) is a long-term condition characterized by the gradual loss of kidney function over time. The kidneys are vital organs that filter waste products and excess fluids from the blood, which are then excreted in urine.",,,,,,,,,,,,Quora
What is Hepatitis?,"Hepatitis is a disease that can damage the liver. It is caused by viruses or other reasons like toxins, parasites and medications.",,,,,,,,,,,,Quora
What are the symptoms of Hepatitis?,"The most common symptoms are feeling tired and sick, loss of appetite, pain in the upper right abdomen, and yellowing of the skin and eyes (jaundice). Some people with hepatitis don’t have any symptoms.",,,,,,,,,,,,Quora
What is Encephalitis?,"Encephalitis is an inflammation of the brain, often caused by viral infections, although it can also result from bacterial infections, autoimmune diseases, or other factors.",,,,,,,,,,,,Quora
What are the symptoms of Encephalitis?,"Fever, Headache, Confusion or altered, mental status, Seizures, Sensitivity to light, Nausea and vomiting",,,,,,,,,,,,Quora
What is Anemia?,"Anemia is a medical condition characterized by a deficiency in the number or quality of red blood cells (RBCs) in the body. This results in a reduced ability of the blood to carry oxygen to tissues, which can lead to various health issues",,,,,,,,,,,,Quora
What are Treatments and Diagnosis of Anemia?,"Diagnosis typically involves blood tests to measure hemoglobin levels and assess red blood cell counts. Treatment varies based on the type and cause of anemia and may include dietary changes, supplements, medications, or more advanced therapies like blood transfusions.",,,,,,,,,,,,Quora
What is Fatty Liver Disease?,"Fatty liver disease, also known as hepatic steatosis, is a condition characterized by the accumulation of fat in liver cells. This excess fat can interfere with normal liver function and lead to inflammation",,,,,,,,,,,,Quora
What is Lupus?,"When there is inflammation of the kidneys due to systemic lupus erythematous (SLE), the condition is lupus nephritis. The immune system of the body targets your own body tissues and organs including the kidneys in this condition",,,,,,,,,,,,Quora
What is Breast Cancer?,"Breast cancer is a type of cancer that begins in the cells of the breast. It can occur in both men and women, but it is more commonly diagnosed in women. Breast cancer can develop in different parts of the breast, including the milk ducts, lobules, and connective tissues.",,,,,,,,,,,,Quora
What is Lung Cancer?,"Lung cancer, like all cancers is an abnormal proliferation of cells that grow without regard for surrounding healthy tissue.Small cell lung cancer and squamous cell lung cancer are two of the most common types and occur primarily in smokers.",,,,,,,,,,,,Quora
What is Multiple Sclerosis?,It is autoimmune disorder of white matter that occur due to interaction of genetic factor with environmental factors. Demylinating disease in which conduction of nerve impulse in axon is impaired.,,,,,,,,,,,,Quora
What is Celiac Disease?,Celiac disease is an autoimmune disease in which the body attacks the villi in the small intestines in the presence of gluten. The only treatment is to avoid eating gluten through a gluten-free diet that has to be maintained for the rest of the patient’s life.,,,,,,,,,,,,Quora
What is HIV/AIDS?,"HIV (Human Immunodeficiency Virus) is a virus that attacks the immune system, specifically the CD4 cells (T cells), which are crucial for fighting infections. Over time, if untreated, HIV can lead to AIDS (Acquired Immunodeficiency Syndrome), a condition where the immune system is severely compromised,",,,,,,,,,,,,Quora
What are the symptoms of HIV/AIDS?,"Within a few weeks of HIV infection, flu-like symptoms such as fever, sore throat and fatigue can occur. Then the disease is usually asymptomatic until it progresses to AIDS. AIDS symptoms include weight loss, fever or night sweats, fatigue and recurrent infections",,,,,,,,,,,,Quora
What causes Chronic Obstructive Pulmonary Disease (COPD)?,"Chronic obstructive pulmonary disease refers to several disorders that affect the movement of air in and out of the lungs. It is usually caused by smoking , tobacco , aging , genetically passed from one generation to another generation .",,,,,,,,,,,,Quora
What is Cholera?,"Cholera is an infectious disease which includes watery diahorrea leading to dehydration and death if untreated,caused by eating and drinking of contaminated food and water with bacteria.",,,,,,,,,,,,Quora
What are the symptoms of  Cholera?,"Symptoms including : Nausea, Vomiting, Loosemotion, Body dehydrate, Fall Bp",,,,,,,,,,,,Quora
What causes Norovirus?,"Norovirus is a common group of viruses that causes severe diarrhea, nausea, and vomiting. It is also a very contagious virus, spreading easily through contaminated food or surfaces. Its outbreaks usually happen seasonally in the colder months.",,,,,,,,,,,,Quora
What is Malaria?,"Malaria is a disease caused by a parasite. The parasite is transmitted to humans through the bites of infected mosquitoes. People who have malaria usually feel very sick, with a high fever and shaking chills",,,,,,,,,,,,Quora
How is Malaria symptoms?,"Malaria infection  symptoms: Fever Chills, Headache, Nausea and vomiting, Muscle pain and fatigue, Sweating,Chest or abdominal pain, Cough",,,,,,,,,,,,Quora
What is Dengue Fever?,"Dengue is a mosquito-borne viral infection. Dengue fever is the initial stage. It is the most common and important arthropod-borne viral (arboviral) illness in humans. It is transmitted by mosquitos of the genus Aedes, which are widely distributed in the world",,,,,,,,,,,,Quora
What are the symptoms of Dengue Fever?,"Dengue  characterized by symptoms like high fever, severe headache, pain behind the eyes, joint and muscle pain, and rash.",,,,,,,,,,,,Quora
What is Bronchitis?,"Bronchitis is an inflammation of the inner mucous lining of the bronchial tubes in the lungs, which is frequently caused by a respiratory infection.",,,,,,,,,,,,Quora
What are some preventions of Bronchitis?,"Preventive measures include quitting smoking, avoiding irritants, getting vaccinated against influenza and pneumonia, and practicing good hygiene to reduce the risk of infections.",,,,,,,,,,,,Quora
What is Emphysema?,"Emphysema is a chronic lung condition that is part of a group of diseases known as chronic obstructive pulmonary disease (COPD). It primarily involves damage to the alveoli, which are the tiny air sacs in the lungs responsible for gas exchange",,,,,,,,,,,,Quora
What is Measles?,Measles is a highly infectious viral disease that mainly affects children but can affect people of all ages. This is caused by measles virus (peck bilious) and an infected person spreads through respiratory drops when coughing or sneezing.,,,,,,,,,,,,Quora
 What are the symptoms of Measles?,"Symptoms including: High fever (often above 104 ° F or 40 ° C), Flowing nose, Red water eyes (conjunctivitis) ,Dry cough, Couple spots (small white spots inside the mouth, unique to measles",,,,,,,,,,,,Quora
,,,,,,,,,,,,,
